analysis,term,coef_log_odds,cluster_robust_se_by_player,z,p_value,odds_ratio,or_ci_low_95,or_ci_high_95
rcs_recent_s4_density_prev5,intercept,-0.365603385672752,0.10481258758371452,-3.488162959250883,0.0004863515609292882,0.6937779089089234,0.5649398253365016,0.8519983285004552
rcs_recent_s4_density_prev5,density_linear,-3.8749732931302345,0.6228242343395036,-6.221616114921394,4.920597922196465e-10,0.020754892164500056,0.006122965185031154,0.07035244129970239
rcs_recent_s4_density_prev5,density_rcs_1,8.793591059309417,4.675644220603052,1.8807228789052821,0.06000962575205667,6591.861488506188,0.690270580179096,62950151.91343801
rcs_recent_s4_density_prev5,density_rcs_2,-19.016665525307786,10.142798494233668,-1.874893357697981,0.06080739605096593,5.510196646999642e-09,1.2806861729242405e-17,2.3707812054594815
rcs_recent_s4_density_prev5,log_gap_before_s4_days,-0.5158221687831843,0.043511375005468235,-11.854880906851577,2.0301265557001726e-32,0.5970095501697772,0.5482058281203573,0.6501579967071573
rcs_recent_s4_density_prev5,log_player_lifetime_days,-0.3919146555163552,0.06475969408841964,-6.0518299388699175,1.432096104455612e-09,0.6757617840402053,0.5952084159098955,0.7672169555450822
rcs_recent_s4_density_prev5,log_prior_session_count,0.6114402336622924,0.05415054767296735,11.29148752760503,1.445690120545246e-29,1.8430839597305764,1.657491243691623,2.0494578752949035
rcs_recent_s4_density_prev5,log_prior_s4_count,-0.06025317258634722,0.08098019028796187,-0.7440482959115023,0.45684725755398464,0.9415261348008428,0.8033423271942299,1.1034790929156233
rcs_recent_s4_density_prev5,prior_s4_share,0.22299327054110046,0.054505672862798504,4.091193793761952,4.291583166877823e-05,1.2498121631481005,1.1231779826210877,1.3907238810964984
rcs_recent_s4_density_prev5,is_update_window_2023_01_31_to_2023_02_07,-0.9255573626779997,0.10613192014868505,-8.720819913380858,2.761944192470109e-18,0.39631046884177296,0.32188017624054405,0.48795172647169177
rcs_recent_s4_density_prev5,month_2022-09,0.077602153126142,0.10155324580601127,0.7641523666745124,0.44477644867299365,1.0806926229499298,0.8856422343270592,1.3187001477925298
rcs_recent_s4_density_prev5,month_2022-10,0.16736838974096765,0.12672782817206393,1.3206916914391071,0.18660418555488412,1.182189691654421,0.92217695057526,1.5155144207217066
rcs_recent_s4_density_prev5,month_2022-11,-0.15360915601215183,0.14864148829621218,-1.0334204653955033,0.30140717320103766,0.8576071461133697,0.6408585783047757,1.1476635282159533
rcs_recent_s4_density_prev5,month_2022-12,0.06343370769510827,0.1631077493115314,0.3889067684574054,0.6973451150583012,1.0654888497484931,0.7739426676376632,1.4668612242345898
rcs_recent_s4_density_prev5,month_2023-01,-0.29039504907049,0.1442373841145389,-2.013313336574985,0.04408167620912452,0.7479680251324397,0.5637748428846727,0.992339714482375
rcs_recent_s4_density_prev5,month_2023-02,-0.0012025636036877463,0.12100024903994464,-0.009938521723957408,0.9920703375004956,0.9987981591861601,0.7879165846883542,1.2661210363889512
rcs_recent_s4_density_prev5,month_2023-03,0.8363659010044269,0.15909662267867625,5.256968293372359,1.464495494505923e-07,2.3079643471189653,1.68967553698732,3.152498400414639
linear_recent_s4_density_prev5,intercept,-0.3792031438117111,0.1045562729575958,-3.626785204609407,0.0002869718191727609,0.6844065655849864,0.5575888373652345,0.8400676549215323
linear_recent_s4_density_prev5,density_linear,-2.982909085592564,0.38521722080865956,-7.743446877402707,9.675722461512937e-15,0.050645287879700594,0.023803209882704086,0.10775627308489563
linear_recent_s4_density_prev5,log_gap_before_s4_days,-0.5124827156439858,0.04293443340843684,-11.936403370430417,7.645839299001862e-33,0.5990065682044092,0.5506619356039275,0.6515955535559347
